example_idx,entity,pred_type,length,context
607,cook,PER,1,", that a cook will have sooner"
607,the,LOC,1,"vegetable food in the world , than"
607,world,LOC,1,"food in the world , than an"
607,author,PER,1,", than an author will be able"
609,epicure,PER,1,"rejected by the epicure , if it"
609,most paltry alleys,FAC,3,found in the most paltry alleys under the same
610,the,FAC,1,be found in the shops .
610,shops,FAC,1,found in the shops .
612,duke,PER,1,"table of a duke , may perhaps"
612,vilest stall in,FAC,3,", in the vilest stall in town ."
613,nobleman,PER,1,food of the nobleman and the porter
613,porter,PER,1,"nobleman and the porter , if both"
613,both,PER,1,"porter , if both are at dinner"
616,reader,PER,1,", will the reader be to find"
616,best cook,PER,2,principles of the best cook which the present
618,the,GPE,1,"is found in the country , and"
618,country,GPE,1,"found in the country , and shall"
618,courts and,ORG,2,and vice which courts and cities afford .
619,great person just above-mentioned,PER,4,", as the great person just above-mentioned is supposed to"
620,those,PER,1,will now detain those who like our
621,"Miss Bridget Allworthy , his sister",PER,6,"fuller account of Miss Bridget Allworthy , his sister ."
622,gentleman whose name was Allworthy,PER,5,"still , a gentleman whose name was Allworthy , and who"
623,some,PER,1,may seem to some to have come
623,others,PER,1,"profuse , that others perhaps may think"
624,agreeable person,PER,2,"he derived an agreeable person , a sound"
624,one of the largest estates in the county,FAC,8,the inheritance of one of the largest estates in the county .
625,very worthy and beautiful woman,PER,5,"youth married a very worthy and beautiful woman , of whom"
625,all of,PER,2,"three children , all of whom died in"
627,man of sense and constancy,PER,5,"bore like a man of sense and constancy , though it"
629,malicious,PER,1,"opinion of the malicious , the title"
630,that species of women,PER,4,She was of that species of women whom you commend
630,good a sort of woman,PER,5,"women -- as good a sort of woman , madam ,"
631,God,PER,1,would often thank God she was not
632,woman,PER,1,person in a woman to be no
632,others,PER,1,well as for others ; and yet
633,reader,PER,1,"unaccountable to the reader , that this"
633,this guard of prudence,PER,4,"reader , that this guard of prudence , like the"
634,men,PER,1,for whom the men are all wishing
634,that higher order of,PER,4,the heels of that higher order of women for whom
634,women,PER,1,higher order of women for whom the
638,family,PER,1,", and no family ."
639,many,PER,1,be concluded by many that he lived
639,honest man,PER,2,"lived like an honest man , owed no"
639,good house,FAC,2,", kept a good house , entertained his"
639,the poor,PER,2,"was charitable to the poor , i.e. to"
639,those who had rather beg than work,PER,7,", i.e. to those who had rather beg than work , by giving"
639,hospital,FAC,1,and built an hospital .
640,"Mary , the heroine of this fiction",PER,7,"CHAP . I. Mary , the heroine of this fiction , was the"
640,"Eliza , a gentle , fashionable girl",PER,7,", who married Eliza , a gentle , fashionable girl , with a"
643,officer,PER,1,"danced with an officer , whom she"
643,vicious fool,PER,2,", ( a vicious fool , ) as"
644,delightful country,GPE,2,", in a delightful country , where Nature"
644,master,PER,1,"; for the master , with brute"
645,some of his pretty tenants,PER,5,would then visit some of his pretty tenants ; and when
645,_,PER,1,say which a _ gourmand _ would
645,gourmand _,PER,2,which a _ gourmand _ would give the
648,the,LOC,1,are there in the female world !
648,female world,LOC,2,there in the female world ! yet she
648,planet,LOC,1,sort of a planet would have been
657,the,LOC,1,a knight-errant into the world .
657,world,LOC,1,knight-errant into the world .
658,sleeping lover,PER,2,settling on the sleeping lover 's face .
659,lover,PER,1,was not a lover to weep in
660,fair peruser,PER,2,", that the fair peruser should beg the"
660,hair-dresser,PER,1,should beg the hair-dresser to settle the
663,person,PER,1,which makes a person take pleasure in
663,living creature,PER,2,comfort of a living creature ; but it
664,the,LOC,1,"; she feared the world , and"
664,world,LOC,1,"she feared the world , and was"
668,"son , a feeble babe",PER,5,"brought forth a son , a feeble babe ; and the"
668,daughter,PER,1,following year a daughter .
669,mother,PER,1,After the mother 's throes she
669,children,PER,1,tenderness : the children were given to
671,Her children all,PER,3,Her children all died in their
671,the,PER,1,"infancy , except the two first ,"
671,two first,PER,2,", except the two first , and she"
671,son,PER,1,"fond of the son , as he"
674,the nursery,FAC,2,were left in the nursery ; and when
674,"Mary , the little blushing girl",PER,6,"; and when Mary , the little blushing girl , appeared ,"
675,house,FAC,1,", in a house without any play-mates"
675,any play-mates,PER,2,a house without any play-mates ; for her
675,garden,FAC,1,"ramble about the garden , admire the"
676,old house-keeper,PER,2,An old house-keeper told her stories
677,governess,PER,1,enquiring for a governess when her health
677,her own maid,PER,3,the interim desired her own maid to teach her
683,fine tall girl,PER,3,to have a fine tall girl brought forward into
683,gay,LOC,1,away in the gay world .
688,sea,LOC,1,listen to the sea that was not
689,her constant friends and confidants,PER,5,"nature , were her constant friends and confidants ."
690,Great,FAC,1,"to consider the Great First Cause ,"
691,new world,LOC,2,sought out a new world .
